UNIQUE,Returns a list of unique values in a list or range,"UNIQUE(array, [by_col], [exactly_once])",NONE,"The Excel UNIQUE function extracts a list of unique values from a range or array. The result is a dynamic array of unique values. If this array is the final result (i.e. not handed off to another function), array values will ""spill"" onto the worksheet into a range that automatically updates when new uniques values are added or removed from the source range. Note: the UNIQUE function is not case-sensitive. UNIQUE will treat ""APPLE"", ""Apple"", and ""apple"" as the same text."
XLOOKUP,"Replaces VLOOKUP, HLOOKUP, and INDEX / MATCH","XLOOKUP(lookup_value,lookup_array,return_array,[match_mode],[search_mode])",NONE,"XLOOKUP is a modern replacement for the VLOOKUP function. It is a flexible and versatile function that can be used in a wide variety of situations. XLOOKUP can find values in vertical or horizontal ranges, can perform approximate and exact matches, and supports wildcards (*, ?) for partial matches. In addition, XLOOKUP can search data starting from the first value or the last value (see match type and search mode details below). Compared to older functions like VLOOKUP, HLOOKUP, and LOOKUP, XLOOKUP offers several key advantages."
AND,Checks whether all conditions are met. TRUE/FALSE,"AND(logical1,logical2)",Logical,"The Excel AND function is a logical function used to require more than one condition at the same time. AND returns either TRUE or FALSE. To test if a number in A1 is greater than zero and less than 10, use =AND(A1>0,A1<10). The AND function can be used as the logical test inside the IF function to avoid extra nested IFs, and can be combined with the OR function."
IF,"If condition is met, do something, if not, do something else.","IF(logical_test,value_if_true,value_if_false)",Logical,"The Excel IF function runs a logical test and returns one value for a TRUE result, and another for a FALSE result. For example, to ""pass"" scores above 70: =IF(A1>70,""Pass"",""Fail""). More than one condition can be tested by nesting IF functions. The IF function can be combined with logical functions like AND and OR to extend the logical test."
IFERROR,If result is an error then do something else.,"IFERROR(VALUE,value_if_error)",Logical,"The IFERROR function is used to catch errors and return a more friendly result or message when an error is detected. When a formula returns a normal result, the IFERROR function returns that result. When a formula returns an error, IFERROR returns an alternative result. IFERROR is an elegant way to trap and manage errors. The IFERROR function is a modern alternative to the ISERROR function."
NOT,Changes TRUE to FALSE and FALSE to TRUE.,NOT(logical),Logical,"The Excel NOT function returns the opposite of a given logical or Boolean value. When given TRUE, NOT returns FALSE. When given FALSE, NOT returns TRUE. Use the NOT function to reverse a logical value."
OR,Checks whether any conditions are met. TRUE/FALSE,"OR(logical1,logical2)",Logical,"The Excel OR function returns TRUE if any given argument evaluates to TRUE, and returns FALSE if all supplied arguments evaluate to FALSE. For example, to test A1 for either ""x"" or ""y"", use =OR(A1=""x"",A1=""y""). The OR function can be used as the logical test inside the IF function to avoid nested IFs, and can be combined with the AND function"
XOR,Checks whether one and only one condition is met. TRUE/FALSE,"XOR(logical1,logical2)",Logical,"The XOR function performs what is called ""exclusive OR"". With two logical statements, XOR returns TRUE if either statement is TRUE, but returns FALSE if both statements are TRUE. If neither is TRUE, XOR also returns FALSE."
FALSE,The logical value: FALSE.,FALSE,Lookup & Reference,"The Excel FALSE function returns the Boolean value FALSE. The FALSE function is classified as a ""compatibility function"", needed only for compatibility with other spreadsheet applications. There is no need to use FALSE() if you are creating a spreadsheet in Excel."
TRUE,The logical value: TRUE.,TRUE,Lookup & Reference,"The Excel TRUE function returns the Boolean value TRUE. The TRUE function is classified as a ""compatibility function"", needed only for compatibility with other spreadsheet applications. There is no need to use TRUE() if you are creating a spreadsheet in Excel."
ADDRESS,Returns a cell address as text.,"ADDRESS(row_num,column_num,abs_num,C1,sheet_text)",Lookup & Reference,"The Excel ADDRESS function returns the address for a cell based on a given row and column number. For example, =ADDRESS(1,1) returns $A$1. ADDRESS can return an address in relative, mixed, or absolute format, and can be used to construct a cell reference inside a formula."
AREAS,Returns the number of areas in a reference.,AREAS(reference),Lookup & Reference,"The AREAS function returns the number of areas in a given reference as a number. In this context, areas mean separate contiguous ranges. AREAS takes just one argument, called reference. Reference can include more than one reference, but you must separate multiple references with a comma and wrap them in an extra set of parentheses. Otherwise, Excel will think the commas indicate multiple arguments and generate an error about entering too many arguments."
CHOOSE,Chooses a value from a list based on it's position number.,"CHOOSE(index_num,value1,value2)",Lookup & Reference,"The Excel CHOOSE function returns a value from a list using a given position or index. For example, =CHOOSE(2,""red"",""blue"",""green"") returns ""blue"", since blue is the 2nd value listed after the index number. The values provided to CHOOSE can include references."
COLUMN,Returns the column number of a cell reference.,COLUMN(reference),Lookup & Reference,"The Excel COLUMN function returns the column number for a reference. For example, COLUMN(C5) returns 3, since C is the third column in the spreadsheet. When no reference is provided, COLUMN returns the column number of the cell which contains the formula."
COLUMNS,Returns the number of columns in an array.,COLUMNS(array),Lookup & Reference,"The COLUMNS function returns the count of columns in a given reference as a number. For example, COLUMNS(A1:C3) returns 3, since the range A1:C3 contains 3 columns. COLUMNS takes just one argument, called array, which should be a range or array"
HLOOKUP,Lookup a value in the first row and return a value.,"HLOOKUP(lookup_value,table_array,row_index_num,range_lookup)",Lookup & Reference,"The Excel HLOOKUP function finds and retrieve a value from data in a horizontal table. The ""H"" in HLOOKUP stands for ""horizontal"", and lookup values must appear in the first row of the table, moving horizontally to the right. HLOOKUP supports approximate and exact matching, and wildcards (*) for finding partial matches."
